WMC,UTA,UTW
"Cumbernauld, Kilsyth and Kirkintilloch East County Constituency","East Dunbartonshire Council","Hillhead and Broomhill"
,,"Rosebank and Waterside"
,,"East Harestanes and Twechar"
,,Campsie
,,Milton
,"North Lanarkshire Council","Kildrum and Park"
,,"Seafar and The Village"
,,"Balloch East and Ravenswood"
,,"Balloch West, Blackwood East and Craigmarloch"
,,"Westerwood, Carrickstone and Dullatur"
,,"Abronhill South"
,,"Abronhill Central and North"
,,"Carbrain East"
,,"Carbrain West and Greenfaulds"
,,"Condorrat Central"
,,"Condorrat North and Westfield"
,,"Croy, Kilsyth South and Smithstone"
,,"Queenzieburn and Kilsyth West"
,,"Banton and Kilsyth East"
"East Dunbartonshire County Constituency","East Dunbartonshire Council",*
"Motherwell and Wishaw Burgh Constituency","North Lanarkshire Council",*
"Edinburgh East Burgh Constituency","City of Edinburgh",Tollcross
,,Southside
,,Holyrood
,,Meadowbank
,,Mountcastle
,,"Leith Links"
,,Restalrig
,,Portobello
,,Milton
,,Prestonfield
,,Craigmillar
,,Duddingston
"Edinburgh North and Leith Burgh Constituency","City of Edinburgh",Craigleith
,,Pilton
,,Granton
,,Trinity
,,Newhaven
,,Dean
,,Stockbridge
,,"New Town"
,,Broughton
,,Calton
,,Harbour
,,Lorne
"Edinburgh South West Burgh Constituency","City of Edinburgh",Balerno
,,Baberton
,,Parkhead
,,Craiglockhart
,,Moat
,,Shandon
,,Dalry
,,Fountainbridge
,,"Murray Burn"
,,Sighthill
,,Colinton
,,Firrhill
"Edinburgh South Burgh Constituency","City of Edinburgh",Merchiston
,,"North Morningside/Grange"
,,Marchmont
,,Sciennes
,,Newington
,,"South Morningside"
,,Fairmilehead
,,Alnwickhill
,,Kaimes
,,Moredun
,,Gilmerton
"Edinburgh West Burgh Constituency","City of Edinburgh",Dalmeny/Kirkliston
,,Queensferry
,,Cramond
,,"Davidson's Mains"
,,Muirhouse/Drylaw
,,"East Craigs"
,,"N.E. Corstorphine"
,,Murrayfield
,,Gyle
,,"S.E. Corstorphine"
,,Stenhouse
"East Lothian County Constituency","East Lothian Council",*
"East Renfrewshire County Constituency","East Renfrewshire Council",*
"Falkirk County Constituency","Falkirk Council",*
"Linlithgow and East Falkirk County Constitutency","Falkirk Council",Zetland
,,Beancross
,,Inchyra
,,Dundas/Kerse
,,"Grange and Blackness"
,,Dean
,,Borrowstoun
,,"Kinneil and Whitecross"
,,"Reddingmuirhead, Brightons and Rumford"
,,Avon
,"West Lothian Council","St Michael's"
,,Kingsfield
,,Preston
,,Boghall
,,"Armadale West"
,,"Armadale Central"
,,Easton
,,Newland
,,Durhamtoun
,,Polkemmet
,,Croftmalloch
,,Almond
"Livingston County Constituency","West Lothian Council",*
"Dunfermline and West Fife County Constituency","Fife Council","Kincardine, Culross and Low Valleyfield"
,,"Blairhall, High Valleyfield and Torryburn"
,,"Oakley, Saline and Steelend"
,,"Cairneyhill, Carnock and Milesmark"
,,"Crossford and Dunfermline Central"
,,Baldridgeburn
,,"Wellwood and Headwell"
,,"Townhill and Bellyeoman"
,,"Garvock and Carnegie"
,,"Halbeath, Hill of Beath and Kingseat"
,,Woodmill
,,Linburn
,,"Brucefield and Nethertown"
,,Pitcorthie
,,"Limekilns and Pitreavie"
,,"Rosyth West"
,,"Rosyth East"
,,"Inverkeithing West and Rosyth South"
,,"Inverkeithing East and North Queensferry"
,,"Crossgates and Mossside"
"Glenrothes County Constituency","Fife Council","Cardenden, Cluny and Chapel"
,,"Kinglassie, Bowhill and Dundonald"
,,"Wemyss and Muiredge"
,,"Buckhaven and Denbeath"
,,Methilhill
,,Methil
,,"Leven West and Kirkland"
,,Kennoway
,,"Windygates, Star and Balgonie"
,,"Markinch and Woodside East"
,,"Auchmuty and Woodside West"
,,"Pitteuchar and Finglassie North"
,,"Thornton, Stenton and Finglassie South"
,,"Caskieberran and Rimbleton"
,,"Newcastle and Tanshall"
,,"South Parks and Macedonia"
,,"Leslie and Whinnyknowe"
,,"Balgeddie and Collydean"
,,"Cadham, Pitcoudie and Balfarg"
"Kirkcaldy and Cowdenbeath County Constituency","Fife Council","Dalgety Bay West and Hillend"
,,"Dalgety Bay East"
,,"Cowdenbeath Central"
,,"Oakfield and Cowdenbeath North"
,,Kelty
,,"Ballingry and Lochore"
,,"Crosshill and Lochgelly North"
,,"Lumphinnans and Lochgelly South"
,,"Aberdour and Burntisland West"
,,"Auchtertool and Burntisland East"
,,"Kinghorn and Invertiel"
,,"Linktown and Kirkcaldy Central"
,,"Raith and Longbraes"
,,"Bennochy and Valley"
,,"Templehall East"
,,"Templehall West"
,,Dunnikier
,,"Hayfield and Balsusney"
,,"Smeaton and Overton"
,,"Glebe Park, Pathhead and Sinclairtown"
,,"Dysart and Gallatown"
"North East Fife County Constituency","Fife Council",*
"Glasgow Central Burgh Constituency","Glasgow City Council",Kelvingrove
,,Anderston
,,"Merchant City"
,,Calton
,,Bridgeton/Dalmarnock
,,Kingston
,,"Pollokshields East"
,,Hutchesontown
,,Govanhill
,,Strathbungo
,,Toryglen
"Glasgow East Burgh Constituency","Glasgow City Council",Parkhead
,,Queenslie
,,Greenfield
,,Barlanark
,,Shettleston
,,"Tollcross Park"
,,Braidfauld
,,"Mount Vernon"
,,Baillieston
,,Garrowhill
,,Garthamlock
,,Easterhouse
"Glasgow North East Burgh Constituency","Glasgow City Council",Milton
,,Ashfield
,,Keppochhill
,,Royston
,,Cowlairs
,,Springburn
,,Wallacewell
,,Milnbank
,,Dennistoun
,,Carntyne
,,Robroyston
,,Gartcraig
"Glasgow North West Burgh Constituency","Glasgow City Council",Drumry
,,Summerhill
,,Blairdardie
,,"Knightswood Park"
,,"Knightswood South"
,,Yoker
,,Anniesland
,,Jordanhill
,,Scotstoun
,,"Victoria Park"
,,Hayburn
"Glasgow North Burgh Constituency","Glasgow City Council",Kelvindale
,,Hyndland
,,Hillhead
,,Partick
,,Woodlands
,,"North Kelvin"
,,Wyndford
,,Maryhill
,,Summerston
,,Firhill
"Glasgow South West Burgh Constituency","Glasgow City Council",Drumoyne
,,Govan
,,Ibrox
,,Mosspark
,,"North Cardonald"
,,Penilee
,,Cardonald
,,Pollok
,,Crookston
,,Nitshill
,,Darnley
"Glasgow South Burgh Constituency","Glasgow City Council",Carnwadric
,,"Maxwell Park"
,,Battlefield
,,Langside
,,Pollokshaws
,,Newlands
,,Cathcart
,,"Mount Florida"
,,"King's Park"
,,Castlemilk
,,Carmunnock
,,Glenwood
"Caithness, Sutherland and Easter Ross County Constituency","Highland Council","Caithness North West"
,,"Thurso West"
,,"Thurso Central"
,,"Thurso East"
,,"Caithness Central"
,,"Caithness North East"
,,Wick
,,"Wick West"
,,Pulteneytown
,,"Caithness South East"
,,"Sutherland North West"
,,"Tongue and Farr"
,,"Sutherland Central"
,,"Golspie and Rogart"
,,Brora
,,"Dornoch Firth"
,,"Alness and Ardross"
,,"Tain West"
,,"Tain East"
,,Seaboard
,,Invergordon
,,"Rosskeen and Saltburn"
,,Ferindonald
"Inverness, Nairn, Badenoch and Strathspey County Constituency","Highland Council",Kirkhill
,,Scorguie
,,Muirtown
,,Merkinch
,,"Inverness Central"
,,Culloden
,,"Ardersier, Croy and Petty"
,,"Loch Ness West"
,,"Inverness West"
,,Canal
,,Ballifeary
,,Lochardil
,,Hilton
,,Milton
,,Crown
,,Raigmore
,,"Loch Ness East"
,,Culduthel
,,Inshes
,,Drumossie
,,"Westhill and Smithton"
,,Balloch
,,"Nairn Alltan"
,,"Nairn Ninian"
,,"Nairn Cawdor"
,,"Nairn Auldearn"
,,"Badenoch West"
,,"Badenoch East"
,,"Strathspey South"
,,"Strathspey North East"
,,"Grantown on Spey"
"Ross, Skye and Lochaber County Constituency","Highland Council",*
"Inverclyde County Constituency","Inverclyde Council",*
"Moray County Constituency","Moray Council",*
"Orkney and Shetland County Constituency","Orkney Islands Council",*
,"Shetland Islands Council",*
"Paisly and Renfrewshire North County Constituency","Renfrewshire Council",Shortroods
,,Ferguslie
,,"Linwood East"
,,"Linwood West"
,,"Gallowhill and Whitehaugh"
,,Sandyford
,,Ralston
,,Blythswood
,,Deanside
,,Townhead
,,"Arkleston and Newmains"
,,Moorpark
,,"Bridge of Weir South and Brookfield"
,,"Bridge of Weir North and Craigends"
,,"Houston and Langbank"
,,"Erskine S.E. and Inchinnan"
,,Parkmains
,,"Erskine Central"
,,"Erskine West"
,,Bishopton
"Paisly and Renfrewshire South County Constituency","Renfrewshire Council",*
"Stirling County Constituency","Stirling Council",*
"West Dunbartonshire County Constituency","West Dunbartonshire Council",*
